"Period","Passenger_type","Direction","Country","Count"
201504,"Overseas visitor","Arrival","Argentina",400
201504,"Overseas visitor","Arrival","Australia",107984
201504,"Overseas visitor","Arrival","Austria",288
201504,"Overseas visitor","Arrival","Azerbaijan",16
201504,"Overseas visitor","Arrival","Bahamas",16
201504,"Overseas visitor","Arrival","Bahrain",32
201504,"Overseas visitor","Arrival","Bangladesh",64
201504,"Overseas visitor","Arrival","Belarus",16
201504,"Overseas visitor","Arrival","Belgium",272
201504,"Overseas visitor","Arrival","Botswana",16
201504,"Overseas visitor","Arrival","Brazil",960
201504,"Overseas visitor","Arrival","Brunei Darussalam",48
201504,"Overseas visitor","Arrival","Cambodia",112
201504,"Overseas visitor","Arrival","Canada",3424
201504,"Overseas visitor","Arrival","Cayman Islands",32
201504,"Overseas visitor","Arrival","Chile",512
201504,"Overseas visitor","Arrival","China, People's Republic of",31024
201504,"Overseas visitor","Arrival","Colombia",128
201504,"Overseas visitor","Arrival","Cook Islands",1040
201504,"Overseas visitor","Arrival","Costa Rica",16
201504,"Overseas visitor","Arrival","Croatia",16
201504,"Overseas visitor","Arrival","Czech Republic",128
201504,"Overseas visitor","Arrival","Denmark",480
201504,"Overseas visitor","Arrival","Dominican Republic",16
201504,"Overseas visitor","Arrival","Ecuador",16
201504,"Overseas visitor","Arrival","Egypt",16
201504,"Overseas visitor","Arrival","Estonia",16
201504,"Overseas visitor","Arrival","Faeroe Islands",16
201504,"Overseas visitor","Arrival","Fiji",2224
201504,"Overseas visitor","Arrival","Finland",192
201504,"Overseas visitor","Arrival","France",1904
201504,"Overseas visitor","Arrival","French Polynesia",1312
201504,"Overseas visitor","Arrival","Germany",4016
201504,"Overseas visitor","Arrival","Gibraltar",16
